rank,trade_date,stock_id,stock_name,close,total_score,trend_score,momentum_score,fundamental_score,chip_score,risk_score,is_candidate,risk_pass,risk_reason,reason,stop_loss_price,suggested_position_pct
1,2026-05-11,6206,飛捷,130.5,85.0,100.0,100.0,50.0,50.0,100.0,1,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,121.29,0.1
2,2026-05-11,00947,台新臺灣IC設計,37.97,85.0,100.0,100.0,50.0,50.0,100.0,1,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,35.19,0.1
3,2026-05-11,2855,統一證,43.7,85.0,100.0,100.0,50.0,50.0,100.0,1,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,40.86,0.1
4,2026-05-11,8213,志超,41.8,84.81,100.0,99.24,50.0,50.0,100.0,1,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,39.11,0.1
5,2026-05-11,5258,虹堡,54.3,84.79,100.0,99.18,50.0,50.0,100.0,1,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,50.35,0.1
6,2026-05-11,2357,華碩,686.0,84.59,100.0,98.35,50.0,50.0,100.0,1,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,644.43,0.1
7,2026-05-11,3048,益登,45.0,84.25,100.0,100.0,50.0,50.0,95.0,1,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,41.4,0.0
8,2026-05-11,8926,台汽電,51.5,84.16,100.0,96.64,50.0,50.0,100.0,1,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,48.62,0.0
9,2026-05-11,6579,研揚,139.0,83.99,100.0,95.98,50.0,50.0,100.0,1,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,128.64,0.0
10,2026-05-11,00735,國泰臺韓科技,100.7,83.84,100.0,95.37,50.0,50.0,100.0,1,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,94.56,0.0
11,2026-05-11,009802,富邦旗艦50,18.45,83.74,100.0,94.95,50.0,50.0,100.0,1,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,17.41,0.0
12,2026-05-11,2376,技嘉,324.5,83.69,100.0,94.75,50.0,50.0,100.0,1,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,299.64,0.0
13,2026-05-11,2377,微星,107.5,83.66,100.0,97.65,50.0,50.0,95.0,1,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,98.9,0.0
14,2026-05-11,2030,彰源,18.0,83.55,97.8,96.84,50.0,50.0,100.0,1,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,16.84,0.0
15,2026-05-11,3356,奇偶,59.7,83.54,100.0,94.18,50.0,50.0,100.0,1,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,55.2,0.0
16,2026-05-11,3034,聯詠,496.5,83.2,100.0,100.0,50.0,50.0,88.0,1,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,462.79,0.0
17,2026-05-11,3033,威健,44.0,82.99,100.0,91.94,50.0,50.0,100.0,1,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,40.59,0.0
18,2026-05-11,1762,中化生,37.55,82.9,99.0,100.0,50.0,50.0,88.0,1,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,34.8,0.0
19,2026-05-11,3592,瑞鼎,263.5,82.83,100.0,94.3,50.0,50.0,95.0,1,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,242.42,0.0
20,2026-05-11,3014,聯陽,139.0,82.54,100.0,90.17,50.0,50.0,100.0,1,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,131.29,0.0
